task_id,node_id,start,duration
Init-46,0,0,16
Init-47,0,0,4
Init-48,0,0,19
Init-49,1,0,2
Init-50,1,0,3
Init-51,1,0,12
Init-52,1,0,10
Init-53,2,0,6
Init-54,2,0,15
Init-55,1,0,15
Init-56,3,0,16
Init-57,3,0,5
Init-58,3,0,5
Init-59,3,0,19
Init-60,4,0,7
Init-61,4,0,4
Init-62,5,0,5
Init-63,3,0,2
Init-64,3,0,7
Init-65,5,0,8
Init-66,6,0,7
Init-67,6,0,10
Init-68,7,0,19
Init-69,7,0,11
Init-70,8,0,19
Init-71,4,0,3
Init-72,4,0,18
Init-73,8,0,4
Init-74,8,0,4
Init-75,8,0,20
Init-76,9,0,3
Init-77,6,0,20
Init-78,9,0,8
Init-79,9,0,14
Init-80,10,0,11
Init-81,10,0,2
Init-82,11,0,5
Init-83,8,0,18
Init-84,10,0,4
Init-85,11,0,7
Init-86,12,0,11
Init-87,4,0,11
Init-88,11,0,10
Init-89,11,0,19
Init-90,12,0,8
Init-91,13,0,10
Init-92,13,0,4
Init-93,14,0,3
Init-94,5,0,10
Init-95,12,0,19
Init-96,14,0,5
Init-97,12,0,6
Init-98,13,0,20
Init-99,15,0,3
Init-100,15,0,13
Init-101,15,0,5
Init-102,16,0,15
Init-103,15,0,7
Init-104,16,0,2
Init-105,16,0,15
Init-106,16,0,5
Init-107,17,0,17
Init-108,17,0,13
Init-109,17,0,9
Init-110,13,0,14
Init-111,18,0,10
Init-112,18,0,14
Init-113,19,0,10
Init-114,18,0,3
Init-115,14,0,13
Init-116,19,0,18
Init-117,19,0,8
Init-118,20,0,15
Init-119,15,0,8
Init-120,20,0,12
Init-121,21,0,11
Init-122,20,0,12
Init-123,21,0,19
Init-124,21,0,14
Init-125,22,0,11
Init-126,22,0,11
Init-127,22,0,20
Init-128,23,0,16
Init-129,23,0,7
Init-130,19,0,12
Init-131,23,0,11
Init-132,23,0,6
Init-133,3,0,17
Init-134,24,0,20
Init-135,24,0,14
Init-136,24,0,6
Init-137,18,0,15
Init-138,25,0,18
Init-139,25,0,9
Init-140,24,0,16
Init-141,26,0,18
Init-142,26,0,16
Init-143,25,0,16
Init-144,27,0,10
Init-145,27,0,10
Init-146,28,0,9
Init-147,28,0,19
Init-148,26,0,9
Init-149,29,0,8
Init-150,27,0,12
Init-151,29,0,8
Init-152,30,0,2
Init-153,30,0,13
Init-154,31,0,15
Init-155,31,0,10
Init-156,31,0,14
Init-157,32,0,14
Init-158,28,0,6
Init-159,22,0,20
Init-160,25,0,15
Init-161,32,0,7
Init-162,26,0,12
Init-163,32,0,12
Init-164,33,0,10
Init-165,30,0,19
Init-166,27,0,4
Init-167,29,0,9
Init-168,33,0,6
Init-169,33,0,5
Init-170,34,0,10
Init-171,34,0,5
Init-172,32,0,20
Init-173,33,0,20
Init-174,35,0,4
Init-175,34,0,11
Init-176,34,0,3
Init-177,35,0,13
Init-178,35,0,12
Init-179,35,0,17
Init-180,36,0,16
Init-181,36,0,18
Init-182,36,0,17
Init-183,37,0,10
Init-184,36,0,4
Init-185,37,0,9
Init-186,38,0,14
Init-187,38,0,12
Init-188,37,0,13
Init-189,39,0,10
Init-190,38,0,4
Init-191,39,0,17
Init-192,39,0,17
Init-193,40,0,4
Init-194,40,0,9
Init-195,41,0,13
Init-196,41,0,13
Init-197,42,0,12
Init-198,42,0,10
Init-199,43,0,5
Init-200,43,0,19
Init-201,39,0,17
Init-202,43,0,18
Init-203,44,0,11
Init-204,44,0,11
Init-205,38,0,6
Init-206,44,0,19
Init-207,45,0,17
Init-208,40,0,20
Init-209,45,0,16
Init-210,45,0,10
Init-211,46,0,14
Init-212,46,0,3
Init-213,41,0,11
Init-214,42,0,19
Init-215,47,0,9
Init-216,47,0,11
Init-217,48,0,3
Init-218,43,0,8
Init-219,48,0,7
Init-220,48,0,4
Init-221,49,0,16
Init-222,49,0,9
Init-223,49,0,16
Init-224,44,0,10
Init-225,50,0,19
Init-226,50,0,10
Init-227,50,0,7
Init-228,50,0,11
Init-229,51,0,11
Init-230,51,0,19
Init-231,52,0,3
Init-232,52,0,10
Init-233,40,0,20
Init-234,42,0,10
Init-235,47,0,17
Init-236,53,0,7
Init-237,53,0,4
Init-238,54,0,12
Init-239,54,0,7
Init-240,55,0,17
Init-241,55,0,19
Init-242,47,0,12
Init-243,55,0,14
Init-244,51,0,16
Init-245,56,0,18
Init-246,56,0,16
Init-247,52,0,19
Init-248,56,0,16
Init-249,57,0,9
Init-250,57,0,2
Init-251,58,0,5
Init-252,58,0,6
Init-253,59,0,18
Init-254,57,0,17
Init-255,59,0,6
Init-256,60,0,18
Init-257,59,0,10
Init-258,60,0,10
Init-259,53,0,20
Init-260,61,0,16
Init-261,61,0,19
Init-262,62,0,8
Init-263,62,0,9
Init-264,63,0,17
Init-265,63,0,6
Init-266,64,0,18
Init-267,64,0,16
Init-268,54,0,2
Init-269,62,0,6
Init-270,60,0,12
Init-271,65,0,12
Init-272,65,0,17
Init-273,58,0,9
Init-274,66,0,15
Init-275,62,0,5
Init-276,66,0,11
Init-277,59,0,3
Init-278,67,0,15
Init-279,66,0,15
Init-280,67,0,4
Init-281,67,0,9
Init-282,68,0,6
Init-283,68,0,10
Init-284,69,0,2
Init-285,69,0,19
Init-286,68,0,13
Init-287,70,0,10
Init-288,70,0,8
